All Transactions Report Created: 2018-08-15 22:57:58 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"7/15/2018","Payment/Deposit","",,"","Dick Clothing Sporting","Shopping:Clothing","Shopping:Clothing","",,"21.79","Discover 3128(6)",
﻿,,"7/15/2018","Payment/Deposit","",,"","Costco Visa","Transfer:[Checking]","Transfer:[Checking]","",,"259.12","Costco Visa 5455","payment (auto)"
﻿,,"7/15/2018","Payment/Deposit","",,"","Costco Visa","Transfer:[Costco Visa 5455]","Transfer:[Costco Visa 5455]","",,"-259.12","Checking","payment (auto)"
﻿,,"7/14/2018","Payment/Deposit","",,"","WAL MART","Fix Me:WalMart","Fix Me:WalMart","",,"0.96","Sears 9920(29)",
﻿,,"7/14/2018","Payment/Deposit","",,"","Kohl's","Uncategorized","Uncategorized","",,"-18.54","Sears 9920(29)",
﻿,,"7/13/2018","Payment/Deposit","",,"","smitty's garage","Dining:Family","Dining:Family","",,"-7.04","Sears 9920(29)",
﻿,,"7/13/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-48.61","Sears 9920(29)","odyssey"
﻿,,"7/13/2018","Payment/Deposit","",,"","Phillips 66","Uncategorized","Uncategorized","",,"-6.54","Sears 9920(29)","odyssey"
﻿,,"7/13/2018","Payment/Deposit","",,"","Price Chopper","Groceries","Groceries","",,"-81.45","Sears 9920(29)",
﻿,,"7/13/2018","Payment/Deposit","",,"","Cvs","Health & Fitness:Pharmacy","Health & Fitness:Pharmacy","",,"-59.85","Discover 3128(6)",
﻿,,"7/13/2018","Payment/Deposit","",,"","Services G Helppay","Bills & Utilities:Internet","Bills & Utilities:Internet","",,"-172.61","Discover 3128(6)","google fiber"
﻿,,"7/13/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-200.96","Discover 3128(6)",
﻿,,"7/13/2018","Payment/Deposit","",,"","Dollar Tree","Shopping","Shopping","",,"-31.63","Discover 3128(6)",
﻿,,"7/13/2018","Buy","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","14.192 shares @ 11.950395","Investments:Buy","","14.192","-169.60","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 07/13/2018"
﻿,,"7/13/2018","Buy","",,"Stable Value","Stable Value","25.344 shares @ 6.691919","Investments:Buy","","25.344","-169.60","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 07/13/2018"
﻿,,"7/13/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"262.50","Fidelity HSA XX5575","Medical savings plan"
﻿,,"7/13/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"5,653.25","Savings","Gross pay"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"78.54","Savings","Life Insurance (implied)"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Medicare","Tax:Medicare","",,"-77.39","Savings","Paycheck"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Soc Sec","Tax:Soc Sec","",,"-330.90","Savings","Paycheck"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Fed","Tax:Fed","",,"-427.03","Savings","Paycheck"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Kansas","Tax:Kansas","",,"-202.22","Savings","Paycheck"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Medical","Insurance:Medical","",,"-132.22","Savings","Health care (medical + dental)"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-262.50","Savings","Medical savings plan"
