dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2001-10-18,5.52,5.52,5.52,5.52,000,2.282998
2001-10-17,5.60,5.60,5.60,5.60,000,2.316085
2001-10-16,5.70,5.70,5.70,5.70,000,2.357444
2001-10-15,5.65,5.65,5.65,5.65,000,2.336765
2001-10-12,5.67,5.67,5.67,5.67,000,2.345036
2001-10-11,5.70,5.70,5.70,5.70,000,2.357444
2001-10-10,5.61,5.61,5.61,5.61,000,2.320221
2001-10-09,5.48,5.48,5.48,5.48,000,2.266455
2001-10-08,5.49,5.49,5.49,5.49,000,2.270591
2001-10-05,5.54,5.54,5.54,5.54,000,2.29127
2001-10-04,5.54,5.54,5.54,5.54,000,2.29127
2001-10-03,5.51,5.51,5.51,5.51,000,2.278863
2001-10-02,5.39,5.39,5.39,5.39,000,2.229232
2001-10-01,5.31,5.31,5.31,5.31,000,2.196145
2001-09-28,5.35,5.35,5.35,5.35,000,2.212689
2001-09-27,5.22,5.22,5.22,5.22,000,2.158922
2001-09-26,5.15,5.15,5.15,5.15,000,2.129971
2001-09-25,5.18,5.18,5.18,5.18,000,2.142379
2001-09-24,5.13,5.13,5.13,5.13,000,2.1217
2001-09-21,4.98,4.98,4.98,4.98,000,2.059662
2001-09-20,5.04,5.04,5.04,5.04,000,2.084477
2001-09-19,5.18,5.18,5.18,5.18,000,2.140311
2001-09-18,5.29,5.29,5.29,5.29,000,2.185761
2001-09-17,5.37,5.37,5.37,5.37,000,2.218816
2001-09-10,5.60,5.60,5.60,5.60,000,2.313849
2001-09-07,5.56,5.56,5.56,5.56,000,2.297322
2001-09-06,5.65,5.65,5.65,5.65,000,2.334509
2001-09-05,5.75,5.75,5.75,5.75,000,2.375828
2001-09-04,5.78,5.78,5.78,5.78,000,2.388223
2001-08-31,5.77,5.77,5.77,5.77,000,2.384091
2001-08-30,5.76,5.76,5.76,5.76,000,2.37996
2001-08-29,5.87,5.87,5.87,5.87,000,2.42541
2001-08-28,5.92,5.92,5.92,5.92,000,2.44607
2001-08-27,6.02,6.02,6.02,6.02,000,2.487388
2001-08-24,6.03,6.03,6.03,6.03,000,2.49152
2001-08-23,5.92,5.92,5.92,5.92,000,2.44607
2001-08-22,5.93,5.93,5.93,5.93,000,2.450201
2001-08-21,5.90,5.90,5.90,5.90,000,2.437806
2001-08-20,5.96,5.96,5.96,5.96,000,2.462597
2001-08-17,5.96,5.96,5.96,5.96,000,2.462597
2001-08-16,6.05,6.05,6.05,6.05,000,2.499784
2001-08-15,6.06,6.06,6.06,6.06,000,2.503916
2001-08-14,6.08,6.08,6.08,6.08,000,2.512179
2001-08-13,6.08,6.08,6.08,6.08,000,2.512179
